"Invalid API key. Please check your AlyaPay configuration.","Invalid API key. Please check your AlyaPay configuration."
"Invalid order data. Please check your integration.","Invalid order data. Please check your integration."
"The order amount is below the minimum for AlyaPay.","The order amount is below the minimum for AlyaPay."
"The order amount exceeds the maximum for AlyaPay.","The order amount exceeds the maximum for AlyaPay."
"Validation failed: %1","Validation failed: %1"
"Invalid request. Please check your configuration.","Invalid request. Please check your configuration."
"Payment is temporarily unavailable. Please try again later.","Payment is temporarily unavailable. Please try again later."
"Transaction not found.","Transaction not found."
"Unable to verify payment status. Please contact support.","Unable to verify payment status. Please contact support."
"Unable to sync configuration to AlyaPay. Please try again later.","Unable to sync configuration to AlyaPay. Please try again later."
"A payment error occurred. Please try again or contact support.","A payment error occurred. Please try again or contact support."
"Pay with AlyaPay","Pay with AlyaPay"
