"Invalid API key. Please check your AlyaPay configuration.","Clé API invalide. Veuillez vérifier votre configuration AlyaPay."
"Invalid order data. Please check your integration.","Données de commande invalides. Veuillez vérifier votre intégration."
"The order amount is below the minimum for AlyaPay.","Le montant de la commande est inférieur au minimum requis pour AlyaPay."
"The order amount exceeds the maximum for AlyaPay.","Le montant de la commande dépasse le maximum autorisé pour AlyaPay."
"Validation failed: %1","Échec de la validation : %1"
"Invalid request. Please check your configuration.","Requête invalide. Veuillez vérifier votre configuration."
"Payment is temporarily unavailable. Please try again later.","Le paiement est temporairement indisponible. Veuillez réessayer plus tard."
"Transaction not found.","Transaction introuvable."
"Unable to verify payment status. Please contact support.","Impossible de vérifier le statut du paiement. Veuillez contacter le support."
"Unable to sync configuration to AlyaPay. Please try again later.","Impossible de synchroniser la configuration avec AlyaPay. Veuillez réessayer plus tard."
"A payment error occurred. Please try again or contact support.","Une erreur de paiement s'est produite. Veuillez réessayer ou contacter le support."
"Payment is currently unavailable due to overdue payments.","Le paiement est indisponible en raison de paiements en retard."
"Your outstanding balance exceeds the limit. Please pay existing installments.","Votre solde impayé dépasse la limite. Veuillez régler les échéances en cours."
"Monthly payment limit reached. Please try again next month.","Limite de paiement mensuelle atteinte. Veuillez réessayer le mois prochain."
"Pay with AlyaPay","Payer avec AlyaPay"
